stage,composition,n_rows_total,n_runs_completed,n_subject_rows,n_parse_error,rate_parse_error,n_was_normalized,rate_was_normalized,n_rows_descartadas,rate_descartadas,n_parse_error_control,n_control_rows,n_parse_error_variant,n_variant_rows,p_binom_asimetria_parseo
detection,hetero_api_gpt,34020,63,8505,4,0.00047031158142269255,4028,0.4736037624926514,4,0.00047031158142269255,1,2835,3,5670,0.45861112412639504
detection,hetero_local,34020,63,8505,1,0.00011757789535567314,3509,0.412580834803057,1,0.00011757789535567314,0,2835,1,5670,5.669983928415365e-06
detection,homo_gpt,33900,63,8475,0,0.0,2335,0.27551622418879057,0,0.0,0,2820,0,5655,1.0
detection,homo_llama,34020,63,8505,7,0.0008230452674897119,5031,0.5915343915343916,7,0.0008230452674897119,3,2835,4,5670,0.540862106203145
detection,homo_mistral,34020,63,8505,1,0.00011757789535567314,4156,0.48865373309817756,1,0.00011757789535567314,1,2835,0,5670,0.2781322474495869
detection,homo_qwen,34020,63,8505,0,0.0,801,0.09417989417989418,0,0.0,0,2835,0,5670,1.0
placebo,hetero_api_gpt,7560,42,1890,0,0.0,812,0.42962962962962964,0,0.0,0,945,0,945,1.0
placebo,hetero_local,7560,42,1890,0,0.0,771,0.40793650793650793,0,0.0,0,945,0,945,1.0
placebo,homo_gpt,7560,42,1890,0,0.0,473,0.25026455026455025,0,0.0,0,945,0,945,1.0
placebo,homo_llama,7560,42,1890,0,0.0,968,0.5121693121693122,0,0.0,0,945,0,945,1.0
placebo,homo_mistral,7560,42,1890,0,0.0,891,0.4714285714285714,0,0.0,0,945,0,945,1.0
placebo,homo_qwen,7560,42,1890,0,0.0,262,0.13862433862433862,0,0.0,0,945,0,945,1.0
