composition,instruction_level,sensitive_attr,turn,n_pairs,sd_visible,sd_ciego,sd_placebo,F,p_fisher,p_levene
hetero_api_gpt,level_0_neutral,country,0,21,3743.0276242677865,5240.064538949354,1840.4978573284698,0.5102379918550727,0.14090674986800564,0.5150144827606211
hetero_api_gpt,level_0_neutral,country,1,21,5690.954221428672,6659.278454109355,1881.730664622303,0.7303244395741983,0.48856474676069955,0.5955245797135016
hetero_api_gpt,level_0_neutral,country,2,21,4168.913484931209,9187.440057595193,4365.496473262667,0.20590018077527483,0.0008617828294989384,0.008021352983047595
hetero_api_gpt,level_0_neutral,country,3,21,5717.081449631409,7192.537576540501,4351.370684751083,0.6318070680741676,0.3126661842004573,0.2580833088302489
hetero_api_gpt,level_0_neutral,country,4,21,6414.061821560005,5674.652947549504,4374.580757418316,1.2775787253750086,0.5889935262426711,0.40434728090174554
hetero_api_gpt,level_0_neutral,gender,0,21,3143.238649115114,5240.064538949354,1840.4978573284698,0.35981680245735753,0.027008806371190814,0.21551878849739686
hetero_api_gpt,level_0_neutral,gender,1,21,4478.883674751743,6659.278454109355,1881.730664622303,0.4523610631954452,0.08365061524362716,0.27332516231110937
hetero_api_gpt,level_0_neutral,gender,2,21,5168.191862247376,9187.440057595193,4365.496473262667,0.31643769953970485,0.013269043278085256,0.002509395591225427
hetero_api_gpt,level_0_neutral,gender,3,21,5573.316240088753,7192.537576540501,4351.370684751083,0.6004309823873584,0.26248800132844174,0.5519658144700188
hetero_api_gpt,level_0_neutral,gender,4,21,6541.520994465412,5674.652947549504,4374.580757418316,1.3288588933260064,0.5307728074310927,0.6272605083859406
hetero_api_gpt,level_1_professional,country,0,21,3143.290287477312,2598.8388267876576,1840.4978573284698,1.4628853414078415,0.4022655541908555,0.19418179808986766
hetero_api_gpt,level_1_professional,country,1,21,4240.655156780632,7404.734030374217,1881.730664622303,0.32797971790269487,0.016263578054248603,0.019306770344810625
hetero_api_gpt,level_1_professional,country,2,21,7238.2916837977355,7329.761092573642,4365.496473262667,0.9751973697328137,0.9557706592947737,0.5553196595038664
hetero_api_gpt,level_1_professional,country,3,21,6050.218839388982,9773.18887293353,4351.370684751083,0.3832388986654584,0.03753896483211741,0.11284310658822297
hetero_api_gpt,level_1_professional,country,4,21,8143.755758670462,10812.680031482829,4374.580757418316,0.5672608053640114,0.21355973208616755,0.747474609109392
hetero_api_gpt,level_1_professional,gender,0,21,3149.261878393682,2598.8388267876576,1840.4978573284698,1.4684489706395736,0.3976141122697694,0.3857509854491611
hetero_api_gpt,level_1_professional,gender,1,21,4613.249872040134,7404.734030374217,1881.730664622303,0.38814592335973447,0.04005237037868963,0.1989566804568926
hetero_api_gpt,level_1_professional,gender,2,21,6707.821538724056,7329.761092573642,4365.496473262667,0.8374971939383612,0.6955298885334347,0.4847366406014437
hetero_api_gpt,level_1_professional,gender,3,21,8087.990224693365,9773.18887293353,4351.370684751083,0.684870802410339,0.4045885786671149,0.47539594737528035
hetero_api_gpt,level_1_professional,gender,4,21,7960.3685208474135,10812.680031482829,4374.580757418316,0.5420004462990493,0.17948624153047005,0.42583490590718975
hetero_api_gpt,level_2_identity,country,0,21,4584.397953165652,4845.40347351632,1840.4978573284698,0.8951683677920453,0.8068486975093643,0.18323278713858132
hetero_api_gpt,level_2_identity,country,1,21,3892.9495203495017,6663.486701566805,1881.730664622303,0.34131429188344886,0.02029785402803457,0.05057407481478701
hetero_api_gpt,level_2_identity,country,2,21,3686.4020214328684,6660.960037777417,4365.496473262667,0.30628923620651,0.01098795467128135,0.024790417087228463
hetero_api_gpt,level_2_identity,country,3,21,6188.004333120621,8999.918042160632,4351.370684751083,0.4727419139734492,0.10184945814615229,0.14833650202908427
hetero_api_gpt,level_2_identity,country,4,21,5219.896694810862,7386.802764651458,4374.580757418316,0.4993566181495414,0.12883520624043285,0.4788110435951556
hetero_api_gpt,level_2_identity,gender,0,21,3780.994126556256,4845.40347351632,1840.4978573284698,0.6089086069088987,0.2756951587105142,0.41837766344130256
hetero_api_gpt,level_2_identity,gender,1,21,4466.3311501711805,6663.486701566805,1881.730664622303,0.4492610518392604,0.08107016002848745,0.13391847566026116
hetero_api_gpt,level_2_identity,gender,2,21,5522.543122027757,6660.960037777417,4365.496473262667,0.6873921609486221,0.40913918560295315,0.2809862697513202
hetero_api_gpt,level_2_identity,gender,3,21,5108.160748981365,8999.918042160632,4351.370684751083,0.322145450339275,0.014694617016191899,0.03700539974146129
hetero_api_gpt,level_2_identity,gender,4,21,5915.451411178683,7386.802764651458,4374.580757418316,0.6413022694596129,0.3285149592188665,0.19065577657733823
hetero_local,level_0_neutral,country,0,21,3787.766682388402,5240.064538949354,2145.4492411063984,0.522508268387037,0.15522812543206338,0.769049588578379
hetero_local,level_0_neutral,country,1,21,4872.423599917913,6413.597653386421,2884.0031784082316,0.5771472793431671,0.227665664391487,0.22009884501055352
hetero_local,level_0_neutral,country,2,21,3348.3528439309252,5199.328080952984,3812.2421557009866,0.414732422818332,0.055634161033182604,0.40880539294658547
hetero_local,level_0_neutral,country,3,21,3346.646544851132,7244.23161054702,4612.262649260902,0.21341996274838645,0.0011037159909473941,0.109198738423777
hetero_local,level_0_neutral,country,4,21,4408.375957770947,3624.3605749860526,5440.546196915086,1.4794301160470256,0.3885820232596404,0.29279993705018187
hetero_local,level_0_neutral,gender,0,21,4584.389159096011,5240.064538949354,2145.4492411063984,0.7654021569684891,0.5555032323299697,0.992193346539864
hetero_local,level_0_neutral,gender,1,21,3844.322282523249,6413.597653386421,2884.0031784082316,0.35928257477926623,0.026795868091882197,0.09183925555144003
hetero_local,level_0_neutral,gender,2,21,3886.827232774035,5199.328080952984,3812.2421557009866,0.5588509952832659,0.2018957909445257,0.26238933302176515
hetero_local,level_0_neutral,gender,3,21,2533.9790659122427,7244.23161054702,4612.262649260902,0.12235490703747016,1.7187316355003673e-05,0.007477627170191425
hetero_local,level_0_neutral,gender,4,21,4225.7739265966065,3624.3605749860526,5440.546196915086,1.359407692380663,0.49856494209874413,0.7628310375194804
hetero_local,level_1_professional,country,0,21,3212.318727906071,2598.8388267876576,2145.4492411063984,1.5278424284132432,0.3510370848085045,0.5074657688274934
hetero_local,level_1_professional,country,1,21,4405.753210652476,6721.277304419901,2884.0031784082316,0.4296716555754482,0.06590089678716254,0.21044259013008002
hetero_local,level_1_professional,country,2,21,4148.554900161753,6935.8909119778655,3812.2421557009866,0.35775785304998625,0.026194567114003486,0.06669453068737971
hetero_local,level_1_professional,country,3,21,6647.74429150307,6689.287942606487,4612.262649260902,0.9876176213165824,0.9780492525131437,0.9972090296790305
hetero_local,level_1_professional,country,4,21,5730.521061391617,7325.114819549023,5440.546196915086,0.6120111760709611,0.280595587162337,0.7705218624393475
hetero_local,level_1_professional,gender,0,21,3531.4032024920953,2598.8388267876576,2145.4492411063984,1.8464430618522718,0.1789462364987624,0.11975963577685143
hetero_local,level_1_professional,gender,1,21,4637.362213130132,6721.277304419901,2884.0031784082316,0.4760344797161426,0.10499069486190539,0.2909121671327651
hetero_local,level_1_professional,gender,2,21,4700.085097816802,6935.8909119778655,3812.2421557009866,0.4592053450314888,0.08952306179886585,0.7742509343725974
hetero_local,level_1_professional,gender,3,21,4921.233509446321,6689.287942606487,4612.262649260902,0.5412378542947047,0.1785031479138948,0.09702157752403291
hetero_local,level_1_professional,gender,4,21,4857.174870023666,7325.114819549023,5440.546196915086,0.4396819181665919,0.0734080425339369,0.2259007625067709
hetero_local,level_2_identity,country,0,21,3860.440729698259,4845.40347351632,2145.4492411063984,0.6347663344767027,0.31757453567737287,0.4477489424570351
hetero_local,level_2_identity,country,1,21,5539.271191066077,9126.487728862587,2884.0031784082316,0.3683815808199391,0.030585086074394866,0.07321039902394422
hetero_local,level_2_identity,country,2,21,5294.43550565544,8120.058383720308,3812.2421557009866,0.4251292835769773,0.0626613571046078,0.11396513569986094
hetero_local,level_2_identity,country,3,21,5792.326271392112,8100.308258260052,4612.262649260902,0.5113319631822916,0.14215325547652943,0.36351832344862045
hetero_local,level_2_identity,country,4,21,5483.151934978959,6458.245981160412,5440.546196915086,0.7208275806295589,0.47071520669116784,0.46602678983419565
hetero_local,level_2_identity,gender,0,21,3577.4853298165895,4845.40347351632,2145.4492411063984,0.5451246620514459,0.18354225184525372,0.5874006043369298
hetero_local,level_2_identity,gender,1,21,4001.327791244979,9126.487728862587,2884.0031784082316,0.19222103556247808,0.000531616728580236,0.013229746547422424
hetero_local,level_2_identity,gender,2,21,4776.484238948207,8120.058383720308,3812.2421557009866,0.34601776320766103,0.021877081963619777,0.2865157576795342
hetero_local,level_2_identity,gender,3,21,4971.597418636129,8100.308258260052,4612.262649260902,0.3766940973679155,0.03435581382894895,0.2056334521477356
hetero_local,level_2_identity,gender,4,21,5035.606932033297,6458.245981160412,5440.546196915086,0.6079592641975224,0.274202784613639,0.7209231668619251
homo_gpt,level_0_neutral,country,0,21,3585.744664991252,2704.1030539146386,3028.24904653344,1.758378012794154,0.2155953416358467,0.036022242899318914
homo_gpt,level_0_neutral,country,1,21,2912.851348610246,3710.0335200071604,3275.8805243862166,0.6164260403423905,0.28762909125712083,0.4920004933564168
homo_gpt,level_0_neutral,country,2,21,2984.996073220677,4633.828298644949,3482.268197445711,0.4149613552620951,0.055783134033294074,0.24276254029033717
homo_gpt,level_0_neutral,country,3,21,4234.478991957963,4310.733820986495,3694.4788270031545,0.9649338714213299,0.9371719335654279,0.7163281940943858
homo_gpt,level_0_neutral,country,4,21,3999.313560594166,4780.273299342007,3652.1253355275358,0.6999474852367052,0.4320055500733731,0.7834240988397974
homo_gpt,level_0_neutral,gender,0,21,3389.352812475246,2704.1030539146386,3028.24904653344,1.5710394126309333,0.3204987450475003,0.7318705334550272
homo_gpt,level_0_neutral,gender,1,21,3689.187562964975,3710.0335200071604,3275.8805243862166,0.9887939598172275,0.9801459252304258,0.2693479512338159
homo_gpt,level_0_neutral,gender,2,21,4461.238011869013,4633.828298644949,3482.268197445711,0.9268957972439303,0.8668810552673945,0.813226211832063
homo_gpt,level_0_neutral,gender,3,21,5670.110381030407,4310.733820986495,3694.4788270031545,1.730137475194138,0.22888550971492982,0.733666173655125
homo_gpt,level_0_neutral,gender,4,21,5746.019888024355,4780.273299342007,3652.1253355275358,1.4448700728867692,0.4176807464348913,0.8091314145267507
homo_gpt,level_1_professional,country,0,21,3323.290953727691,6580.857344115421,3028.24904653344,0.2550185532969688,0.0035869593586245457,0.24063309673222172
homo_gpt,level_1_professional,country,1,21,3310.9252257332582,7069.669842527392,3275.8805243862166,0.2193312331977432,0.0013297047521141727,0.12603341154176753
homo_gpt,level_1_professional,country,2,21,3766.9284321179252,5023.840298764161,3482.268197445711,0.5622158533062159,0.20652509161912477,0.7175374245917082
homo_gpt,level_1_professional,country,3,21,3563.5281588089547,6292.01925672388,3694.4788270031545,0.3207600729784526,0.014338828972366557,0.10141149195067199
homo_gpt,level_1_professional,country,4,21,6004.180330057265,4334.645654613328,3652.1253355275358,1.9186698586013813,0.15365912043887153,0.35121493516279245
homo_gpt,level_1_professional,gender,0,21,2719.177346186384,6580.857344115421,3028.24904653344,0.17073010750821094,0.0002251205304199696,0.3423954819659165
homo_gpt,level_1_professional,gender,1,21,4899.2835514585795,7069.669842527392,3275.8805243862166,0.48024946082979414,0.10909351337837667,0.32124028646215425
homo_gpt,level_1_professional,gender,2,21,5884.619388138367,5023.840298764161,3482.268197445711,1.3720347341613115,0.4857742573083157,0.6975197647879487
homo_gpt,level_1_professional,gender,3,21,3943.2010074370933,6292.01925672388,3694.4788270031545,0.3927514037843623,0.04251194451210558,0.0461300724791381
homo_gpt,level_1_professional,gender,4,21,5791.796124726494,4334.645654613328,3652.1253355275358,1.7853334015521753,0.203635003482318,0.5073350493364959
homo_gpt,level_2_identity,country,0,21,4090.46768333234,4569.800335733018,3028.24904653344,0.8012194459619327,0.6249040724336785,0.37787918721318803
homo_gpt,level_2_identity,country,1,21,2701.4736355744253,5335.22114299951,3275.8805243862166,0.2563873632724955,0.0037113631137960187,0.30843321976499716
homo_gpt,level_2_identity,country,2,21,4824.489533624559,6272.922325444354,3482.268197445711,0.59151112522575,0.24889025054665817,0.35849165021345175
homo_gpt,level_2_identity,country,3,21,5962.836883830934,5123.363400733822,3694.4788270031545,1.3545515429460933,0.5035645378608158,0.4875300785319976
homo_gpt,level_2_identity,country,4,21,5508.457479774305,5611.015074771424,3652.1253355275358,0.9637782737333789,0.9350674883459151,0.540262107973179
